Table 1. Reported Voting and Registration, by Sex and Single Years of Age:  November 1998

Source:  U.S. Census Bureau
Internet Release Date:  July 19, 2000

(In thousands)
----------------------------------------------------------------------------------------------------------------------
|Sex and age       |       |             |             |             |             |    U.S. citizen     |  Not a   |
|                  |       |             |             |             |             |---------------------| citizen  |
|                  |       |  Reported   |     Not     |  Reported   |             | Reported |   Not    |----------|
|                  |       | registered  | registered  |    voted    |Did not vote |registered|registered|          |
|                  |       |-------------+-------------+-------------+-------------+----------+----------+----------|
|                  | Total |Number | Pct |Number | Pct |Number | Pct |Number | Pct |  Number  |  Number  |  Number  |
|------------------+-------+-------+-----+-------+-----+-------+-----+-------+-----+----------+----------+----------|
|BOTH SEXES        |       |       |     |       |     |       |     |       |     |          |          |          |
|  Total 18 years  |       |       |     |       |     |       |     |       |     |          |          |          |
|  and over        |198,228|123,104| 62.1| 75,125| 37.9| 83,098| 41.9|115,131| 58.1|   123,104|    60,347|    14,778|
|  18 to 24 years  | 25,537| 10,014| 39.2| 15,523| 60.8|  4,251| 16.6| 21,286| 83.4|    10,014|    12,979|     2,544|
|  25 to 34 years  | 38,624| 20,239| 52.4| 18,385| 47.6| 10,816| 28.0| 27,808| 72.0|    20,239|    13,696|     4,689|
|  35 to 44 years  | 44,369| 27,664| 62.3| 16,705| 37.7| 18,073| 40.7| 26,296| 59.3|    27,664|    13,078|     3,627|
|  45 to 54 years  | 34,827| 24,137| 69.3| 10,690| 30.7| 17,663| 50.7| 17,164| 49.3|    24,137|     8,678|     2,012|
|  55 to 64 years  | 22,609| 16,724| 74.0|  5,884| 26.0| 13,095| 57.9|  9,514| 42.1|    16,724|     4,926|       958|
|  65 to 74 years  | 17,902| 13,810| 77.1|  4,092| 22.9| 11,333| 63.3|  6,569| 36.7|    13,810|     3,544|       548|
|  75 years and    |       |       |     |       |     |       |     |       |     |          |          |          |
|  over            | 14,361| 10,516| 73.2|  3,845| 26.8|  7,867| 54.8|  6,494| 45.2|    10,516|     3,445|       399|
|  18 years        |  4,022|    937| 23.3|  3,085| 76.7|    412| 10.3|  3,610| 89.7|       937|     2,815|       270|
|  19 years        |  3,895|  1,332| 34.2|  2,562| 65.8|    599| 15.4|  3,295| 84.6|     1,332|     2,204|       358|
|  20 years        |  3,505|  1,394| 39.8|  2,111| 60.2|    533| 15.2|  2,972| 84.8|     1,394|     1,718|       394|
|  21 years        |  3,666|  1,619| 44.2|  2,047| 55.8|    680| 18.5|  2,987| 81.5|     1,619|     1,638|       409|
|  22 years        |  3,578|  1,560| 43.6|  2,017| 56.4|    630| 17.6|  2,947| 82.4|     1,560|     1,717|       300|
|  23 years        |  3,303|  1,466| 44.4|  1,836| 55.6|    680| 20.6|  2,623| 79.4|     1,466|     1,425|       411|
|  24 years        |  3,569|  1,705| 47.8|  1,864| 52.2|    716| 20.1|  2,852| 79.9|     1,705|     1,462|       402|
|  25 years        |  3,265|  1,588| 48.6|  1,677| 51.4|    743| 22.8|  2,522| 77.2|     1,588|     1,329|       348|
|  26 years        |  3,793|  1,787| 47.1|  2,005| 52.9|    832| 21.9|  2,960| 78.1|     1,787|     1,550|       455|
|  27 years        |  3,726|  1,832| 49.2|  1,894| 50.8|    877| 23.6|  2,848| 76.4|     1,832|     1,435|       459|
|  28 years        |  4,038|  2,059| 51.0|  1,980| 49.0|  1,035| 25.6|  3,003| 74.4|     2,059|     1,549|       431|
